X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
398477,137319,20157434,2020/11/03 23:30:00+00,2020/11/03 20:20:21+00,2020/11/03 21:20:15+00,400 - 497 BLOCK OF L STREET NW,THEFT/OTHER,OTHERS,EVENING,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 1,MOUNT VERNON TRIANGLE CID,398477,137319,38.9037254238,-77.0175583548,941004625,
398683,137118,20161132,2020/11/11 01:10:37+00,2020/11/10 17:15:21+00,2020/11/10 19:20:10+00,900 - 999 BLOCK OF 3RD STREET NW,THEFT F/AUTO,OTHERS,EVENING,6,6E,1,101,Cluster 8,004702 2,004702,Precinct 1,MOUNT VERNON TRIANGLE CID,398683,137118,38.9019150775,-77.0151830376,941004626,
396697,137650,20094888,2020/06/30 06:34:56+00,2020/06/28 01:30:44+00,2020/06/28 10:45:53+00,1615 - 1699 BLOCK OF RHODE ISLAND AVENUE NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,,396697,137650,38.906702301,-77.0380812,941004627,
396394,141198,20070899,2020/05/12 14:52:24+00,2020/05/11 22:00:35+00,2020/05/12 11:00:44+00,3800  - 3899 BLOCK OF 18TH STREET NW,THEFT F/AUTO,OTHERS,DAY,4,4E,4,404,Cluster 18,002600 1,002600,Precinct 47,,396394,141198,38.9386626299,-77.041593208,941004628,
394450,137863,20072097,2020/05/14 23:09:30+00,2020/05/14 22:43:22+00,2020/05/14 23:09:48+00,1401 - 1498 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2E,2,206,Cluster 4,000102 2,000102,Precinct 5,GEORGETOWN,394450,137863,38.9086097622,-77.0639891987,941004629,
404084.549999997,139109.41,20167417,2020/11/24 19:28:21+00,2020/11/23 16:11:37+00,2020/11/23 16:30:38+00,2400 - 2499 BLOCK OF MARKET STREET NE,THEFT/OTHER,OTHERS,DAY,5,5C,5,503,Cluster 24,009000 3,009000,Precinct 139,,404084.55,139109.41,38.9198458716,-76.9528994141,941004826,
400260,142662,20167536,2020/11/24 03:19:01+00,2020/11/24 02:35:35+00,,600 - 719 BLOCK OF GALLATIN STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5A,4,405,Cluster 20,009509 3,009509,Precinct 66,,400260,142662,38.9518581174,-76.9970004893,941004827,
405327,135921,20167943,2020/11/24 23:08:44+00,2020/11/24 16:30:03+00,2020/11/24 16:40:12+00,4400 - 4499 BLOCK OF BENNING ROAD NE,THEFT/OTHER,OTHERS,EVENING,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,,405327,135921,38.8911169135,-76.9385969585,941004828,
400643,138931,20046430,2020/03/16 18:24:40+00,2020/03/16 14:48:02+00,2020/03/16 16:25:30+00,901 - 999 BLOCK OF BRENTWOOD ROAD NE,THEFT F/AUTO,OTHERS,DAY,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,,400643,138931,38.918247953,-76.9925854753,941004846,
397233,139278,20146893,2020/10/14 12:06:12+00,2020/10/13 19:30:58+00,2020/10/13 19:35:10+00,2401 - 2499 BLOCK OF 14TH STREET NW,THEFT F/AUTO,OTHERS,DAY,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,,397233,139278,38.9213697211,-77.031908069,941004849,
405327,135921,20152994,2020/10/25 23:55:34+00,2020/10/25 22:55:36+00,2020/10/25 23:30:43+00,4400 - 4499 BLOCK OF BENNING ROAD NE,THEFT/OTHER,OTHERS,EVENING,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,,405327,135921,38.8911169135,-76.9385969585,941004850,
396233,139879,20153489,2020/10/27 01:06:43+00,2020/10/24 20:00:33+00,2020/10/25 12:00:38+00,2800 - 2999 BLOCK OF ADAMS MILL ROAD NW,THEFT/OTHER,OTHERS,EVENING,1,1C,3,303,Cluster 1,003902 1,003902,Precinct 35,,396233,139879,38.9267800025,-77.0434430132,941004851,
396666,140781,20015066,2020/01/25 19:27:33+00,2020/01/25 17:46:23+00,2020/01/25 17:47:47+00,3400 - 3499 BLOCK OF OAKWOOD TERRACE NW,THEFT F/AUTO,OTHERS,DAY,1,1D,3,302,Cluster 2,002703 1,002703,Precinct 40,,396666,140781,38.9349072446,-77.0384538133,941004852,
394737,137483,20015211,2020/01/25 23:34:00+00,2020/01/25 21:38:16+00,2020/01/25 21:50:30+00,3036 - 3099 BLOCK OF M STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394737,137483,38.9051883564,-77.0606772966,941004853,
393039,142375,20015298,2020/01/26 02:21:39+00,2020/01/26 01:38:00+00,2020/01/26 02:05:51+00,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,EVENING,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,,393039,142375,38.949245201,-77.0803031975,941004854,
